"iwaid","iwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I05","Operate computer systems or computerized equipment.","21.1%","144","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I07","Collaborate in the development of educational programs.","21.1%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I03","Examine financial activities, operations, or systems.","20.9%","89","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I02","Perform human resources activities.","20.8%","119","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I04","Develop recipes or menus.","20.7%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I04","Coordinate with others to resolve problems.","20.4%","144","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I03","Monitor financial data or activities.","20.4%","431","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03","Distribute materials, supplies, or resources.","20.3%","166","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I01","Study details of artistic productions.","20.3%","101","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I06","Advise others on healthcare or wellness issues.","20.0%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I07","Monitor resources or inventories.","19.9%","110","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I10","Inspect characteristics or conditions of materials or products.","19.8%","131","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I01","Explain technical details of products or services.","19.7%","362","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08","Maintain operational records.","19.6%","1343","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19","Disassemble equipment.","19.4%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04","Determine operational methods or procedures.","19.3%","172","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I32","Set up classrooms, facilities, educational materials, or equipment.","18.8%","364","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I01","Determine values or prices of goods or services.","18.4%","444","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I04","Operate medical equipment.","18.1%","107","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01","Supervise personnel activities.","17.9%","1083","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I20","Install commercial or production equipment.","17.8%","52","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I04","Train others on operational or work procedures.","17.8%","571","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02","Read documents or materials to inform work processes.","17.7%","615","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I41","Position materials or components for assembly.","17.7%","215","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01","Monitor equipment operation.","17.7%","227","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I10","Analyze biological or chemical substances or related data.","17.3%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01","Perform administrative or clerical activities.","17.2%","177","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02","Plan work activities.","17.2%","82","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09","Adjust equipment to ensure adequate performance.","17.2%","206","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I05","Develop safety standards, policies, or procedures.","17.1%","330","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I12","Discuss legal matters with clients, disputants, or legal professionals or staff.","17.0%","69","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07","Advise others on educational or vocational matters.","16.6%","269","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I03","Respond to customer problems or inquiries.","16.5%","1363","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03","Provide information to guests, clients, or customers.","16.4%","687","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I05","Confer with healthcare or other professionals about patient care.","16.4%","266","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I02","Record information about legal matters.","16.2%","106","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02","Monitor operations to ensure adequate performance.","15.5%","473","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02","Provide information or assistance to the public.","15.5%","73","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I06","Monitor individual behavior or performance.","15.4%","1017","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I05","Explain medical information to patients or family members.","15.4%","96","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I01","Teach life skills.","15.4%","134","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I06","Analyze health or medical data.","15.4%","97","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I12","Collect information about patients or clients.","15.3%","118","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I04","Inspect vehicles.","15.2%","149","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I01","Measure physical characteristics of materials, products, or equipment.","15.0%","392","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.1.I01","Mark materials or objects for identification.","15.0%","140","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I03","Calculate financial data.","14.9%","67","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I03","Schedule appointments.","14.9%","105","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I10","Maintain sales or financial records.","14.9%","354","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I14","Design industrial systems or equipment.","14.8%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I01","Present information in legal proceedings.","14.8%","54","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02","Maintain tools or equipment.","14.7%","366","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I06","Prepare health or medical documents.","14.6%","125","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I04","Assemble equipment or components.","14.5%","113","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I05","Verify personal information.","14.4%","74","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10","Select materials or equipment for operations or projects.","14.4%","142","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I02","Order medical tests or procedures.","14.3%","76","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I40","Remove workpieces from production equipment.","14.2%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I11","Maintain health or medical records.","14.0%","536","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I06","Operate industrial processing or production equipment.","14.0%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I10","Counsel others about personal matters.","13.9%","322","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I01","Advise patients or clients on medical issues.","13.8%","85","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I01","Replenish inventories of materials, equipment, or products.","13.8%","257","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05","Purchase goods or services.","13.6%","245","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03","Execute financial transactions.","13.6%","1292","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I13","Confer with clients to determine needs or order specifications.","13.5%","137","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I06","Repair tools or equipment.","13.5%","113","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I42","Package objects.","13.3%","97","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03","Investigate criminal or legal matters.","13.1%","115","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I06","Diagnose health conditions or disorders.","13.0%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I02","Sort materials or products.","12.9%","153","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I02","Provide support or encouragement to others.","12.5%","166","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I08","Arrange displays or decorations.","12.4%","229","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I09","Examine people or animals to assess health conditions or physical characteristics.","12.3%","147","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I01","Assist others to access additional services or resources.","12.3%","301","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07","Inspect commercial, industrial, or production systems or equipment.","12.2%","310","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I17","Perform agricultural activities.","12.2%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I12","Test performance of equipment or systems.","12.1%","224","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I05","Process shipments or mail.","11.9%","141","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I04","Collect fares or payments.","11.8%","374","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I23","Interview people to obtain information.","11.8%","266","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I43","Install plumbing or piping equipment or systems.","11.8%","71","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01","Operate transportation equipment or vehicles.","11.6%","306","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I10","Provide general assistance to others, such as customers, patrons, or motorists.","11.5%","766","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06","Inspect completed work or finished products.","11.4%","355","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I01","Build structures.","11.0%","201","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I01","Assess living, work, or social needs or status of individuals or communities.","11.0%","53","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I06","Position workpieces or materials on equipment.","10.9%","98","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I15","Provide food or beverage services.","10.8%","233","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I02","Estimate project development or operational costs.","10.7%","86","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I04","Reconcile financial data.","10.6%","327","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I06","Load products, materials, or equipment for transportation or further processing.","10.5%","177","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I11","Assist healthcare practitioners during medical procedures.","10.4%","350","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I07","Administer emergency medical treatment.","10.0%","120","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I06","Train others on health or medical topics.","9.8%","250","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05","Monitor health conditions of humans or animals.","9.8%","517","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I47","Prepare specimens or materials for testing.","9.7%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I02","Administer therapeutic treatments.","9.7%","93","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I16","Perform athletic activities for fitness, competition, or artistic purposes.","9.4%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I39","Apply materials to fill gaps or imperfections.","9.4%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I03","Repair electrical or electronic equipment.","9.2%","47","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I08","Clean workpieces, finished products, or other objects.","9.1%","175","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I05","Inspect facilities or equipment.","8.8%","250","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I10","Move materials, equipment, or supplies.","8.5%","308","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03","Administer basic health care or medical treatments.","8.3%","578","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I36","Assemble products or work aids.","8.2%","91","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I01","Examine materials or documentation for accuracy or compliance.","7.9%","131","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I01","Prepare schedules for services or facilities.","7.9%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I11","Prepare medical equipment or work areas for use.","7.9%","136","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01","Prepare mixtures or solutions.","7.9%","171","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I18","Direct vehicle traffic.","7.7%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I05","Sew garments or materials.","7.4%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I33","Apply protective solutions or coatings.","7.4%","58","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34","Connect components or supply lines to equipment or tools.","7.4%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37","Stock supplies or products.","7.3%","215","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I12","Operate cutting or grinding equipment.","7.3%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09","Assist individuals with special needs.","7.0%","587","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I11","Operate agricultural or forestry equipment.","6.9%","63","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08","Notify others of emergencies or problems.","6.9%","280","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03","Prepare foods or beverages.","6.8%","654","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I12","Treat injuries, illnesses, or diseases.","6.6%","151","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I04","Care for plants or animals.","6.5%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03","Clean tools, equipment, facilities, or work areas.","6.5%","1653","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I08","Operate lifting or moving equipment.","6.2%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07","Perform general construction or extraction activities.","6.0%","134","","","","","","","","","","","","","","","","","","","","","",""
