"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D13","Determine technical requirements of productions or projects.","36.3%","90","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I10.D07","Manage construction activities.","36.1%","184","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I02.D01","Teach vocational courses.","35.9%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I09.D03","Operate laboratory equipment to analyze medical samples.","35.9%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I07.D04","Monitor inventories of products or materials.","35.6%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I04.D01","Obtain property information.","35.5%","46","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D04","Provide educational information to the public.","35.2%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22.D05","Position construction or extraction equipment.","35.0%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I08.D03","Monitor external affairs or events affecting business operations.","34.9%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.4.I01.D04","Establish interpersonal business relationships to facilitate work activities.","34.9%","75","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I03.D01","Manage content of broadcasts or presentations.","34.7%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D23","Maintain social services program records.","34.7%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I04.D02","Maintain computer networks to enhance performance and user access.","34.5%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I05.D05","Analyze project data to determine specifications or requirements.","34.3%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D03","Confer with technical personnel to prepare designs or operational plans.","34.1%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D05","Collaborate with others to determine technical details of productions.","34.0%","95","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I16.D03","Write advertising or promotional material.","33.8%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I10.D03","Signal equipment operators to indicate proper equipment positioning.","33.8%","76","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I08.D01","Monitor market conditions or trends.","33.7%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I04.D01","Resolve computer network problems.","33.6%","126","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I04.D02","Provide technical support for software maintenance or use.","33.4%","287","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I03.D01","Install computer software.","33.4%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D04","Maintain regulatory or compliance documentation.","33.4%","112","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D07","Recommend organizational process or policy changes.","33.3%","99","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I09.D05","Manage organizational or project budgets.","33.2%","218","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D06","Inspect equipment to locate or identify electrical problems.","33.2%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I21.D04","Investigate industrial or transportation accidents.","33.0%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I02.D01","Determine causes of operational problems or failures.","33.0%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D09","Recommend technical design or process changes to improve efficiency, quality, or performance.","33.0%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11.D06","Coordinate operational activities with external stakeholders.","32.8%","221","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I01.D02","Arbitrate disputes between parties to resolve legal conflicts.","32.8%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I09.D04","Monitor activities affecting environmental quality.","32.8%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I11.D04","Analyze business or financial data.","32.5%","136","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D02","Demonstrate products to consumers.","32.5%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I19.D04","Develop emergency response plans or procedures.","32.3%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D19","Record operational details of travel.","32.3%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I06.D05","Discuss business strategies, practices, or policies with managers.","32.3%","125","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D10","Inspect gas systems or components to identify leaks or other potential hazards.","32.2%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I28.D02","Construct distinctive physical objects for artistic, functional, or commercial purposes.","32.2%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D10","Promote products, activities, or organizations.","32.0%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I04.D03","Collaborate with others to resolve information technology issues.","32.0%","80","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D05","Travel to work sites to perform installation, repair or maintenance work.","32.0%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I13.D02","Prepare staff schedules or work assignments.","32.0%","132","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01.D02","Develop operating strategies, plans, or procedures.","31.9%","171","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I01.D04","Study scripts to determine project requirements.","31.9%","46","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I07.D03","Evaluate potential of products, technologies, or resources.","31.8%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D05","Interpret research or operational data.","31.8%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D04","Prepare business correspondence.","31.7%","53","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D04","Modify teaching methods or materials to accommodate student needs.","31.4%","340","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I03.D06","Correspond with customers to answer questions or resolve complaints.","31.4%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D02","Analyze operational or research data.","31.2%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03.D04","Investigate legal issues.","31.1%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I09.D02","Assess financial status of clients.","30.7%","73","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I11.D06","Analyze financial records or reports to determine state of operations.","30.6%","271","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D07","Analyze logistics processes.","30.5%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I02.D12","Teach physical science or mathematics courses at the college level.","30.5%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I01.D05","Explain technical product or service information to customers.","30.4%","117","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D10","Analyze jobs using observation, survey, or interview techniques.","30.3%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D10","Advise others on business or operational matters.","30.2%","163","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I03.D03","Prepare tests.","30.0%","163","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D03","Develop instructional objectives.","30.0%","91","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I05.D02","Develop safety standards, policies, or procedures.","30.0%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I02.D02","Create electronic data backup to prevent loss of information.","29.8%","156","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.4.I01.D02","Develop business relationships.","29.7%","71","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I02.D05","Guide class discussions.","29.6%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I04.D04","Evaluate employee performance.","29.5%","373","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I11.D07","Prepare patients physically for medical procedures.","29.5%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I25.D05","Develop artistic or design concepts for decoration, exhibition, or commercial purposes.","29.2%","64","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D10","Report information to managers or other personnel.","29.0%","100","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I04.D05","Provide technical support for computer network issues.","29.0%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01.D02","Develop medical treatment plans.","28.9%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I01.D06","Evaluate data quality.","28.9%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I04.D02","Manage agricultural or forestry operations.","28.8%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I03.D05","Resolve customer complaints or problems.","28.7%","347","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I04.D02","Inspect mechanical components of vehicles to identify problems.","28.6%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I04.D01","Train personnel to enhance job skills.","28.5%","81","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06.D09","Evaluate projects to determine compliance with technical specifications.","28.5%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I10.D03","Monitor computer system performance to ensure proper operation.","28.4%","86","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D09","Liaise between departments or other groups to improve function or communication.","28.1%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I02.D02","Administer compensation or benefits programs.","28.1%","81","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I09.D04","Prepare operational budgets.","28.0%","341","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I01.D04","Teach life skills.","27.9%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I22.D02","Determine presentation subjects or content.","27.9%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D09","Design layout of art or product exhibits, displays, or promotional materials.","27.7%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D15","Analyze shipping information to make routing decisions.","27.7%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I09.D02","Direct financial operations.","27.6%","211","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D07","Complete documentation required by programs or regulations.","27.6%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D11","Document operational activities.","27.5%","47","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I06.D01","Monitor performance of organizational members or partners.","27.3%","85","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D17","Create computer-generated graphics or animation.","27.2%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I05.D15","Inspect condition or functioning of facilities or equipment.","27.2%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I04.D02","Interpret financial information for others.","27.2%","52","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I07.D03","Prepare proposal documents.","27.2%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I02.D01","Evaluate program effectiveness.","27.2%","67","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I01.D02","Calculate dimensions of workpieces, products, or equipment.","27.1%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D05","Assist chefs or caterers with food or drink preparation.","27.1%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I01.D05","Verify accuracy of financial information.","27.1%","88","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I13.D05","Prepare documentation for contracts, transactions, or regulatory compliance.","27.0%","162","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I03.D01","Assess educational needs of students.","27.0%","47","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I14.D04","Design energy production or management equipment or systems.","27.0%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D13","Record information about parts, materials or repair procedures.","26.9%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D19","Receive information or instructions for performing work assignments.","26.8%","61","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I03.D02","Examine financial records.","26.7%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D09","Prepare legal documents.","26.7%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D06","Write reports or evaluations.","26.6%","91","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D05","Monitor organizational procedures to ensure proper functioning.","26.6%","271","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I03.D02","Administer tests to assess educational needs or progress.","26.6%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D12","Provide transportation information to passengers or customers.","26.6%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D16","Maintain professional knowledge or certifications.","26.5%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D04","Collaborate with others to develop or refine designs.","26.4%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I05.D05","Teach others to use technology or equipment.","26.4%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I01.D01","Coach others.","26.3%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I06.D03","Confer with personnel to coordinate business operations.","26.3%","100","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D12","Design layouts for print publications.","26.3%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I11.D03","Advise others on financial matters.","26.2%","152","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D08","Develop educational programs.","26.2%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I05.D01","Communicate detailed medical information to patients or family members.","26.2%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I03.D03","Analyze test results.","26.1%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D03","Maintain equipment or systems to ensure proper functioning.","26.0%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11.D10","Determine operational compliance with regulations or standards.","25.9%","82","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I05.D03","Evaluate quality of materials or products.","25.9%","260","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I04.D04","Maintain electronic equipment.","25.9%","35","","","","","","","","","","","","","","","","","","","","","",""
